"Nombre de Cuenta", "Número de Cuenta", "Razon Social", "Nombre Comercial", "RUT", "GR", "Miembro de", "Tipo", "Página web", "EMAIL Principal", "Teléfono Principal", "Facturación Anual", "Celular", "Email (Alternativo)", "Teléfono Secundario", "Fecha Creación Empresa", "Aniversario", "Rubro", "Cantidad Empleados", "Sub Grupo de Actividad", "Modificado por", "Grupo de Actividad", "Exportador?", "Importador?", "RUT anterior", "Interviene DOCUMENTOS", "Empresa Familiar", "Socio CEF", "Fecha de Creación", "Asignado a", "Fuente", "No Enviar Email", "Responsable Pagos", "Fecha de Modificación", "Región / Localidad", "Dirección (Factura)", "Dirección (Envío)", "Ciudad (Factura)", "Ciudad (Envío)", "Código Postal (Factura)", "Código Postal (Envío)", "País (Factura)", "País (Envío)", "Departamento (Factura)", "Departamento (Envío)", "Descripción", "Número único", "Tipo de socio", "Estado"
"CONSORCIO DEL URUGUAY","ACC2210","CONSORCIO DEL URUGUAY SA","CONSORCIO DEL URUGUAY","211087410018","0","","Empresas Socias Directas","www.consorcio.uy","consorcio@consorcio.com.uy","29152295","0.00000000","","","","","","Intermediación Financiera- Seguros- inversión","Mediana (20 a 99)","2.3","admin","14. Intermediación financiera, seguros y pensiones","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:34","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","211087410018","TS02","VIG"
"CSU CONSULTORIA","ACC2211","CONSULTORA Y ADMINISTRADORA SUIZO-URUGUAYO SA","CSU CONSULTORIA","210149280017","0","","Empresas Socias Directas","","gabriel.varela@csu.uy","29160332","0.00000000","","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:34","","","","","","","","","","","","L.González","210149280017","TS02","SOLIC-BAJA"
"Control Union Uruguay","ACC2212","Control Union Uruguay SA","Control Union Uruguay","213432890011","0","","","","j.fmanassi@gmail.com","","0.00000000","98457423","","","","","","Grande (más 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:34","Paysandú","","","","","","","","","","","D. Villar","","",""
"Papiros","ACC2213","CONVERPEL SA","Papiros","213382280010","0","","Empresas Socias Directas","","gerencia@converpel.com","29247450","0.00000000","","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:34","","","","","","","","","","","","L.González","213382280010","TS02","BAJ"
"COOPAR","ACC2214","COOPAR SA","COOPAR","210297670018","0","","Empresas Socias Directas","","clopez@coopar.com.uy","22044040","0.00000000","","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:34","","","","","","","","","","","","","210297670018","TS02","BAJ"
"COOPERATIVA POLICIAL","ACC2215","COOPERATIVA POLICIAL","COOPERATIVA POLICIAL","210352670010","0","","Empresas Socias Directas","www.cooperativapolicial.com.uy","cdcopol@adinet.com.uy","29241261","0.00000000","","","","","","Supermercados- Centro Comerciales- Retail","Grande (más 99)","","admin","","0","0","0","0","1","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:34","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","210352670010","TS02","VIG"
"COP - SISTEMAS REFRIGERADOS","ACC2216","COP SISTEMAS REFRIGERADOS SRL","COP - SISTEMAS REFRIGERADOS","214989610015","0","","Empresas Socias Directas","www.cop.com.uy","abesnati@cop.com.uy","22042490","0.00000000","","","","","","Productos Metalúrgicos-Maquinaria-Construcción","Mediana (20 a 99)","","admin","","0","0","0","0","1","Socio","2023-09-05 18:25:49","vpopovich@cncs.com.uy","IMPORT","0","","2026-04-17 12:33:34","Montevideo","","RONDEAU 1637","","","","","","Uruguay","Montevideo","Montevideo",".","214989610015","",""
"Frigorífico COPAYAN","ACC2217","COPAYAN SA","Frigorífico COPAYAN","211735640015","0","","Empresas Socias Directas","www.copayan.com.uy","fernando.gonzalez@copayan.uy","4472 8803","0.00000000","","","","","","Industria Frigorífica","Grande (más 99)","","admin","","1","0","0","1","1","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:34","Rocha","","","","","","","","Uruguay","","","L. Viana","211735640015","TS02","VIG"
"Coragiosso","ACC2218","Coragiosso SAS","Coragiosso","218923900018","0","","","","nathalie@fundacionindigo.org","","0.00000000","","","","","","","Micro (1 a 4)","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:34","Maldonado","","","","","","","","","","","D. Villar","","",""
"CDM LOGISTICA","ACC2219","CORAL DEL MAR SA","CDM LOGISTICA","211700390012","0","","","","","22164838","0.00000000","","","","","","Logística –Transporte – Distribuidora - Almacenamiento","Mediana (20 a 99)","","admin","","0","0","0","0","1","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:34","Montevideo","","","","","","","","","","","","211700390012","",""
"CORPORACIÓN FRIGORÍFICA DEL URUGUAY","ACC2220","CORFRISA CORPORACION FRIGORIFICA DEL URUGUAY SA","CORPORACIÓN FRIGORÍFICA DEL URUGUAY","80021670011","0","","Empresas Socias Directas","","","23644601","0.00000000","","","","","","","Mediana (20 a 99)","","admin","","0","0","0","0","1","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:34","Canelones","","","","","","","","","Canelones","Canelones","","","",""
"Corporación Agropecuaria","ACC2221","Corporación Agropecuaria SA","Corporación Agropecuaria","210276850017","0","","Empresas Socias Directas","","corpagro@adinet.com.uy","29026272 / 29011764","0.00000000","","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:34","","","","","","","","","","","","L.González","210276850017","TS02","BAJ"
"AVON","ACC2222","COSMETICOS AVON DE URUGUAY SA","AVON","213565990017","0","","Empresas Socias Directas","www.avon.com.uy/uy-home","diego.coppa@avon.com","27110580","0.00000000","91987236","","27108355","","","Industria Farmacéutica","Mediana (20 a 99)","1","admin","10. Comercio en general","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","213565990017","TS02","VIG"
"COSTA ORIENTAL","ACC2223","COSTA ORIENTAL SA","COSTA ORIENTAL","211401190011","0","","Empresas Socias Directas","www.costaoriental.com","","25182566","0.00000000","","","","","","Logística –Transporte – Distribuidora - Almacenamiento","Grande (más 99)","11","admin","13. Transporte y almacenamiento","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Montevideo","","","","","","","","Uruguay","","","L. Viana","211401190011","TS02","VIG"
"Costa Urbana Shopping","ACC2224","Costa Urbana SA","Costa Urbana Shopping","215405910011","0","","Empresas Socias Directas","","mrodriguez@costaurbana.com.uy","26823399","0.00000000","","","","","","Supermercados- Centro Comerciales- Retail","Mediana (20 a 99)","21.1","admin","19. Servicios profesionales, técnicos, especializados y aquellos no incluidos en otros grupos","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Canelones","","","","","","","","Uruguay","Canelones","Canelones","L. Viana","215405910011","TS02","VIG"
"COTREY","ACC2225","Cotrey SA","COTREY","215422910016","0","","","","vittoriomedici@gmail.com","","0.00000000","99632850","","","","","","Micro (1 a 4)","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Montevideo","","","","","","","","Uruguay","","","D. Villar","","",""
"CRAMON","ACC2226","CRAMON SA","CRAMON","211550190013","0","","","","","25085401","0.00000000","","","","","","","Pequeña (5 a 19)","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Montevideo","","","","","","","","","","","","","",""
"CRISTALPET","ACC2227","CRISTALPET SA","CRISTALPET","212697900017","0","","Empresas Socias Directas","","javier.bentura@envases.uy","26007188","0.00000000","","","","","","Other","Grande (más 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","212697900017","TS02","VIG"
"Cristalplast","ACC2228","CRISTALPLAST SA","Cristalplast","211213580010","0","","","","info@cristalplast.com.uy","22155544","0.00000000","","","","","","","Mediana (20 a 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Montevideo","","","","","","","","Uruguay","","","","","",""
"Cuayolo","ACC2229","Cuayolo SRL","Cuayolo","0","0","","","","pmartiarena@netgate.com.uy","","0.00000000","99705710","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Canelones","","","","","","","","","","","D. Villar","","",""
"CUDESA","ACC2230","CUDESA SA","CUDESA","210001960016","0","","Empresas Socias Directas","www.cudesa.com.uy","jgriego@cudesa.com.uy","25065766","0.00000000","","","","","","Logística –Transporte – Distribuidora - Almacenamiento","Mediana (20 a 99)","1","admin","10. Comercio en general","0","1","0","0","1","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","210001960016","TS02","VIG"
"Imprenta CUQUI PANDO","ACC2231","CUQUI PANDO SRL","Imprenta CUQUI PANDO","110102880011","0","","Empresas Socias Directas","","info@imprentacuqui.com.uy","22924687","0.00000000","","","","","","","Mediana (20 a 99)","","admin","","0","0","0","0","1","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Canelones","","","","","","","","Uruguay","","","","110102880011","",""
"CURTIFRANCE","ACC2232","CURTIFRANCE SA","CURTIFRANCE","210078340012","0","","Empresas Socias Directas","www.curtifrance.com","guillermo@curtifrance.com","25140318","0.00000000","","","","","","Textiles - vestimentas - cuero y calzado","Mediana (20 a 99)","1","admin","5. Industrias del Cuero, Vestimenta y Calzado","1","0","0","1","1","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Montevideo","","","","","","","","Uruguay","","","L. Viana","210078340012","TS02","VIG"
"STADIUM","ACC2233","CYBE SA","STADIUM","210703920014","0","Accounts::::CICALTEX","Empresas Socias Directas","","cybesa@stadium.com.uy","23080742","0.00000000","","","","","","Textiles - vestimentas - cuero y calzado","Grande (más 99)","","admin","","0","0","0","0","1","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","210703920014","TS02","VIG"
"CYMACO","ACC2234","CYMACO SA","CYMACO","210218730012","0","","","","cymaco@cymaco.com.uy","29020330","0.00000000","","","","","","","Grande (más 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Montevideo","","","","","","","","Uruguay","","","","","",""
"D.POMIES & Asociados","ACC2235","D.POMIES & Asociados SRL","D.POMIES & Asociados","0","0","","","","daniel@dpomies.com","","0.00000000","99684398","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Montevideo","","","","","","","","","","","D. Villar","","",""
"TIMEOUT","ACC2236","DACRIMAR SA","TIMEOUT","214610500018","0","","Socios Indirectos","","federico@dacrimar.com.uy","22082240","0.00000000","","","","","","","Mediana (20 a 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:35","Montevideo","","","","","","","","Uruguay","","","","214610500018","",""
"Yamaha Uruguay","ACC2237","DALSICAR SA","Yamaha Uruguay","215433030012","0","","Empresas Socias Directas","www.yamahauruguay.com/","fa@zenexoutdoor.com.uy","26044040","0.00000000","99632046","info@zenexoutdoor.com.uy","","","","Automotriz- Motocicletas – Autopartes","Pequeña (5 a 19)","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:36","Montevideo","","","","","","","","Uruguay","","","L. Viana","215433030012","TS02","VIG"
"Damboriarena Escosteguy","ACC2238","Damboriarena Escosteguy SRL","Damboriarena Escosteguy","212559300014","0","","","","mgonzalez@dambo.com.uy","","0.00000000","94979116","","","","","","Grande (más 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:49","admin","IMPORT","0","","2026-04-17 12:33:36","Rivera","","","","","","","","","","","D. Villar","212559300014","",""
"Danal","ACC2239","Danal Ltda","Danal","210327130016","0","","","","denisealterwain@gmail.com","","0.00000000","99428424","","","","","","Pequeña (5 a 19)","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:36","Montevideo","","","","","","","","","","","D. Villar","","",""
"TATÚ Arquitectura","ACC2240","Dandenon SRL","TATÚ Arquitectura","218170700017","0","Accounts::::CUSAI","Empresas Socias Directas","","oliveragarmendia@gmail.com","","0.00000000","99838522","","","","","","Micro (1 a 4)","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:36","Montevideo","","","","","","","","Uruguay","","","D. Villar","218170700017","TS02","SOLIC-BAJA"
"DARKO LIGHTING","ACC2241","DARKO SA","DARKO LIGHTING","212280260012","0","","Empresas Socias Directas","www.darkolighting.com.uy","jorge@darkolighting.com","27116198","0.00000000","094415777","darkouy@darkolighting.com","","","","","Pequeña (5 a 19)","","admin","","0","0","0","0","1","","2023-09-05 18:25:50","ncladera@cncs.com.uy","IMPORT","0","","2026-04-17 12:33:36","Montevideo","","","","","","","","Uruguay","","","","212280260012","TS02","VIG"
"BAEREMAECKER Y PERERA CORREDOR DE BOLSA","ACC2242","DE BAEREMAECKER Y PERERA CORREDOR DE BOLSA SA","BAEREMAECKER Y PERERA CORREDOR DE BOLSA","214967200019","0","","Empresas Socias Directas","www.dyp.com.uy","contacto@duranyperera.com.uy","29156847","0.00000000","","","","","","Intermediación Financiera- Seguros- inversión","Pequeña (5 a 19)","Residual","admin","14. Intermediación financiera, seguros y pensiones","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:36","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","214967200019","TS01","VIG"
"PANADERÍA DE LA AGUADA","ACC2243","DE LA AGUADA SA","PANADERÍA DE LA AGUADA","210373480016","0","","Empresas Socias Directas","","rivarod@hotmail.com","22037641","0.00000000","","","","","","","Mediana (20 a 99)","","admin","","0","0","0","0","1","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:36","Montevideo","","","","","","","","Uruguay","","","","210373480016","",""
"DE LAS SIERRAS","ACC2244","DE LAS SIERRAS SA","DE LAS SIERRAS","210319100014","0","","Empresas Socias Directas","","javier.nantes@dls.com.uy","24806434","0.00000000","","","","","","Logística –Transporte – Distribuidora - Almacenamiento","Pequeña (5 a 19)","7.1","admin","13. Transporte y almacenamiento","0","0","0","0","1","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:36","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","210319100014","TS02","VIG"
"Ferretería el Trompo","ACC2245","DEBARELL SA","Ferretería el Trompo","213124700017","0","","","","consultas@eltrompo.com.uy","23598629","0.00000000","95861333","","","","","","Pequeña (5 a 19)","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:36","Montevideo","","","","","","","","Uruguay","","","","","",""
"DECELESTE","ACC2246","DECELESTE SA","DECELESTE","212295360018","0","","Empresas Socias Directas","www.deceleste.com.uy","mbentancor@deceleste.com.uy","29248849","0.00000000","","","","","","Automotriz- Motocicletas – Autopartes","Grande (más 99)","4","admin","8. Industria de productos metálicos, maquinarias y equipo","0","1","0","0","1","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:36","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","212295360018","TS02","SOLIC-BAJA"
"DEDICADO","ACC2247","DEDICADO SA","DEDICADO","214072210012","0","","","","jcinta@dedicado.com.uy","29081111","0.00000000","","","","","","","Pequeña (5 a 19)","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:36","Montevideo","","","","","","","","Uruguay","","","","214072210012","",""
"DELINUR","ACC2248","DELINUR SA","DELINUR","213550160013","0","","Empresas Socias Directas","","delinur@montevideo.com.uy","26131511","0.00000000","","","","","","Textiles - vestimentas - cuero y calzado","Pequeña (5 a 19)","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:36","Montevideo","","","","","","","Uruguay","Uruguay","Montevideo","Montevideo","L. Viana","213550160013","TS02","VIG"
"PEDIDOS YA","ACC2249","Delivery Hero Uruguay Marketplace SA","PEDIDOS YA","216639270017","0","","Empresas Socias Directas","","maria.soldo@pedidosya.com","","0.00000000","94868155","","","","","Tecnología-Telecomunicaciones- actividades conexas","Grande (más 99)","Residual","admin","19. Servicios profesionales, técnicos, especializados y aquellos no incluidos en otros grupos","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:36","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","216639270017","TS02","SOLIC-BAJA"
"Delnicor","ACC2250","Delnicor SA","Delnicor","216382890018","0","","","","delnicorsa@gmail.com","","0.00000000","99391813","","","","","","Pequeña (5 a 19)","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","Canelones","","","","","","","","","","","D. Villar","","",""
"DELOITTE S.C","ACC2251","DELOITTE SC","DELOITTE S.C","212330060011","0","","Empresas Socias Directas","www2.deloitte.com/uy/es.html","dpagosycompras@deloitte.com","29160756","0.00000000","","","","","","Servicios Profesionales- Técnicos Especializados -Certificaciones","Grande (más 99)","17","admin","17. Industria gráfica","0","0","0","1","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","212330060011","TS02","VIG"
"PEREYRA, TALLAC Y ASOCIADOS-ABOGADOS","ACC2252","DELTARIL SA","PEREYRA, TALLAC Y ASOCIADOS-ABOGADOS","217681650017","0","","Empresas Socias Directas","","dra.tallac@gmail.com","29093252","0.00000000","","","","","","","","","admin","","0","0","0","0","1","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","Montevideo","","","","","","","","Uruguay","","","","217681650017","",""
"Demel","ACC2253","DEMEL SA","Demel","211678530015","0","","","","javierbarbeito28@gmail.com","","0.00000000","94481534","","","","","","Micro (1 a 4)","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","Montevideo","","","","","","","","Uruguay","","","D. Villar","","",""
"LABORATORIO LEDUC","ACC2254","DENTAL LEDUC SRL","LABORATORIO LEDUC","210771420013","0","","","","","24098110","0.00000000","","","","","","","Pequeña (5 a 19)","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","Montevideo","","","","","","","","Uruguay","","","","","",""
"Departamental MGAP Florida","ACC2255","Departamental MGAP Florida","Departamental MGAP Florida","0","0","","","","dberti@mgap.gub.uy","","0.00000000","98294190","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","Florida","","","","","","","","","","","D. Villar","","",""
"Mercado Libre","ACC2256","DEREMATE.COM DE URUGUAY SRL","Mercado Libre","214111700011","0","","Empresas Socias Directas","","compras@mercadolibre.com.uy","29272772","0.00000000","","","","","","Tecnología-Telecomunicaciones- actividades conexas","Grande (más 99)","Residual","admin","19. Servicios profesionales, técnicos, especializados y aquellos no incluidos en otros grupos","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","214111700011","TS01","VIG"
"DESPRO","ACC2257","DESPRO SA","DESPRO","214004870010","0","","Empresas Socias Directas","www.desprouy.com/es/","despro@desprouy.com","23580085","0.00000000","","","","","","Ganadería - Agricultura y Actividades Conexas","Mediana (20 a 99)","","admin","","1","0","0","1","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","214004870010","TS02","VIG"
"Destino Punta del Este","ACC2258","DESTINO PUNTA DEL ESTE","Destino Punta del Este","0","138","","Centro Comercial","","","","0.00000000","","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","","","","","","","","","Uruguay","","Maldonado","L. Viana","","TS03","BAJ"
"MAGMA","ACC2259","DESTOL SA","MAGMA","213092360011","0","","Empresas Socias Directas","www.espaciomagma.com/es-uy","magmacentral@netgate.com.uy","27168884","0.00000000","","","","","","Textiles - vestimentas - cuero y calzado","Mediana (20 a 99)","1","admin","10. Comercio en general","0","0","0","0","1","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","213092360011","TS02","VIG"
"Publicis Impetu","ACC2260","DEVON SA","Publicis Impetu","211369030018","0","","Socios Indirectos","","vgoitia@publicisimpetu.com.uy","26054806","0.00000000","","","","","","","Mediana (20 a 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","","","","","","","","","Uruguay","","","","211369030018","",""
"DGC SRL","ACC2261","DGC SRL","DGC SRL","200194640011","0","","","","danilo.da.costa@hotmail.com","","0.00000000","98622838","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","Rocha","","","","","","","","","","","D. Villar","","",""
"Dica y Asociados","ACC2262","Dica y Asociados SAS","Dica y Asociados","215520040016","0","Accounts::::CUSAI","Socios Indirectos","www.dica.com.uy","mfurtado@dica.com.uy","27131113","0.00000000","97012500","","","","","","Pequeña (5 a 19)","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","D. Villar","215520040016","",""
"DGETP","ACC2263","Dirección General de Educación Técnico Profesional","DGETP","0","0","","","","manoconza@gmail.com","","0.00000000","95490648","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","Florida","","","","","","","","","","","D. Villar","","",""
"CREDICOMPRAS","ACC2264","DIROVAL SA","CREDICOMPRAS","213622560012","0","","Socios Indirectos","","eduardoborreani@credicompras.com.uy","22922700","0.00000000","","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:37","Canelones","","","","","","","","","","","","213622560012","",""
"Julio Muebles","ACC2265","DISEÑARTE SRL","Julio Muebles","20133900015","0","","Empresas Socias Directas","www.juliomuebles.com.uy","administracion@juliomuebles.com.uy","43323105","0.00000000","","","","","","Bazar-Ferretería-Pinturería","Pequeña (5 a 19)","","admin","","0","0","0","0","1","Socio","2023-09-05 18:25:50","vpopovich@cncs.com.uy","IMPORT","0","","2026-04-17 12:33:38","Canelones","","LUIS ALBERTO DE HERRERA 132","","","","","","Uruguay","Canelones","Canelones","L. Viana","","",""
"DISER","ACC2266","DISER LTDA","DISER","210746750013","0","","Empresas Socias Directas","","roberto@diser.com.uy","2203900","0.00000000","","","","","","","Mediana (20 a 99)","","admin","","0","0","0","0","1","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:38","","","","","","","","","Uruguay","","","","210746750013","",""
"DAO","ACC2267","Distribuidora Articulos Opticos","DAO","0","0","","","www.dao.com.uy","dao@dao.com.uy","","0.00000000","98504504","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:38","Canelones","","","","","","","","Uruguay","","","D. Villar","","",""
"MONTEVIDEO GAS","ACC2268","DISTRIBUIDORA DE GAS DE MONTEVIDEO SA","MONTEVIDEO GAS","213241630015","0","","Empresas Socias Directas","","larosa@montevideogas.com.uy","29012525 int 5625","0.00000000","","","","","","Logística –Transporte – Distribuidora - Almacenamiento","Grande (más 99)","5","admin","7. Industria química, del medicamento, farmacéutica, de combustibles y anexos","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:38","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","213241630015","TS02","VIG"
"DUCSA","ACC2269","DISTRIBUIDORA URUGUAYA DE COMBUSTIBLE","DUCSA","214421830010","0","","Empresas Socias Directas","","rrhh@ducsa.com.uy","26226022 Int 2410","0.00000000","","","","","","Industria-Energía-Minería","Grande (más 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:38","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","214421830010","TS02","VIG"
"DOBARRO Y PICHEL","ACC2270","DOBARRO Y PICHEL SA","DOBARRO Y PICHEL","212292340016","0","","Empresas Socias Directas","www.dobarro.com.uy","fmiller@dobarro.com.uy","22002001 Int 258","0.00000000","","","","","","Other","Grande (más 99)","","admin","","0","0","0","0","1","Socio","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:38","Montevideo","","","","","","","","Uruguay","","","L. Viana","212292340016","TS02","VIG"
"DOFIN","ACC2271","DOFIN SA","DOFIN","211063190018","0","","Empresas Socias Directas","www.dofin.com.uy","vbremermann@dofin.com.uy","25087240","0.00000000","","","","","","Textiles - vestimentas - cuero y calzado","Grande (más 99)","","admin","","1","0","0","1","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:38","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","211063190018","TS02","EMSUS"
"LA CASA DEL MOTOCICLISTA","ACC2272","DOMINGO TORRE Y COMPAÑÍA LTDA","LA CASA DEL MOTOCICLISTA","210750420014","0","","Empresas Socias Directas","www.domingotorre.com.uy","dtorre@netgate.com.uy","29242484","0.00000000","","","29242491","","","Automotriz- Motocicletas – Autopartes","Pequeña (5 a 19)","15","admin","10. Comercio en general","0","1","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:38","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","","TS02","VIG"
"Elvira Domínguez","ACC2273","Dominguez Alonso Maria Elvira","Elvira Domínguez","212891720010","0","","Empresas Socias Directas","","elviradominguez2015@gmail.com","24000151 Int 3506","0.00000000","","","","","","Other","Micro (1 a 4)","","admin","","0","0","0","0","1","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:38","","","","","","","","","Uruguay","","","L. Viana","212891720010","TS02","VIG"
"DOMS","ACC2274","DOMS Ltda","DOMS","216164040012","0","","","","karim@doms.com.uy","","0.00000000","93811855","","","","","","Micro (1 a 4)","","admin","","0","0","0","0","0","","2023-09-05 18:25:50","admin","IMPORT","0","","2026-04-17 12:33:38","Canelones","","","","","","","","","","","D. Villar","","",""
